"Date","Time","Line","tsNs","id","app","container","detected_level","filename","job","namespace","node_name","pod","service_name","stream"
2026-06-01T06:56:30.164Z,1780296990164,"2026-06-01 06:56:30,150 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:55:09.441185Z"", ""current_cpu"": 0.1631777584552765, ""predicted_cpu"": 0.1938045647865958, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780296990164167443,1780296990164167443_72b2cb52,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671615-29r87_fdaefd18-d594-42fe-91cb-99976168db3e/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671615-29r87,predictive-autoscaler,stdout
2026-06-01T06:50:31.443Z,1780296631443,"2026-06-01 06:50:31,443 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:50:09.895972Z"", ""current_cpu"": 0.1634320765733719, ""predicted_cpu"": 0.19349915639926496, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780296631443852866,1780296631443852866_af8efc9,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671610-kblhs_0c54c24e-c293-4777-bfd3-9e3b171538ef/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671610-kblhs,predictive-autoscaler,stdout
2026-06-01T06:45:32.423Z,1780296332423,"2026-06-01 06:45:32,423 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:45:13.437919Z"", ""current_cpu"": 0.16528171300888062, ""predicted_cpu"": 0.19421604339484538, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780296332423822647,1780296332423822647_3f08b99a,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671605-766lj_3a046603-e187-4db0-8f7c-ecff0deb6f8c/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671605-766lj,predictive-autoscaler,stdout
2026-06-01T06:40:26.099Z,1780296026099,"2026-06-01 06:40:26,095 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:40:07.081755Z"", ""current_cpu"": 0.16258834302425385, ""predicted_cpu"": 0.1939904942540098, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780296026099050559,1780296026099050559_8d7c90bc,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671600-pj89r_d9ffe81a-8e8f-4ebd-985e-c81c5ee273bb/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671600-pj89r,predictive-autoscaler,stdout
2026-06-01T06:35:30.515Z,1780295730515,"2026-06-01 06:35:30,514 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:35:11.860624Z"", ""current_cpu"": 0.16331040859222412, ""predicted_cpu"": 0.19399451012566954, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780295730515002070,1780295730515002070_7fef07b0,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671595-ng92n_d5847baa-a3dc-43cf-8002-76e4667abc95/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671595-ng92n,predictive-autoscaler,stdout
2026-06-01T06:30:26.351Z,1780295426351,"2026-06-01 06:30:26,350 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:30:07.182661Z"", ""current_cpu"": 0.16264572739601135, ""predicted_cpu"": 0.19413724875862232, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780295426351095074,1780295426351095074_10241746,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671590-g5rrj_2f8f03f8-7c36-4236-91f5-3d7ee43c80cc/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671590-g5rrj,predictive-autoscaler,stdout
2026-06-01T06:25:27.680Z,1780295127680,"2026-06-01 06:25:27,680 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:25:09.074298Z"", ""current_cpu"": 0.160601407289505, ""predicted_cpu"": 0.19485416270636152, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780295127680604618,1780295127680604618_77cf7de9,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671585-xdgfc_96c05bd1-12f7-403e-8f3e-a5040bc6fc55/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671585-xdgfc,predictive-autoscaler,stdout
2026-06-01T06:20:31.970Z,1780294831970,"2026-06-01 06:20:31,969 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:20:12.933612Z"", ""current_cpu"": 0.16353775560855865, ""predicted_cpu"": 0.19542359444120092, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780294831970192624,1780294831970192624_1106301f,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671580-826gz_af269022-3e1a-4d9f-8e7a-1b16429db533/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671580-826gz,predictive-autoscaler,stdout
2026-06-01T06:15:28.520Z,1780294528520,"2026-06-01 06:15:28,516 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:15:08.456758Z"", ""current_cpu"": 0.161576509475708, ""predicted_cpu"": 0.19342860912363166, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780294528520959846,1780294528520959846_bb071030,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671575-82kgc_a1bef0e5-91a4-4806-8cee-8110b35eae32/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671575-82kgc,predictive-autoscaler,stdout
2026-06-01T06:10:28.547Z,1780294228547,"2026-06-01 06:10:28,547 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:10:09.854732Z"", ""current_cpu"": 0.15524816513061523, ""predicted_cpu"": 0.1945478244695524, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780294228547455648,1780294228547455648_5563c51d,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671570-g7spd_7ded1d9a-59cd-4374-a1d9-17220a7ef6cb/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671570-g7spd,predictive-autoscaler,stdout
2026-06-01T06:05:26.862Z,1780293926862,"2026-06-01 06:05:26,862 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:05:08.634982Z"", ""current_cpu"": 0.1591084599494934, ""predicted_cpu"": 0.1943482302576318, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780293926862269370,1780293926862269370_167991ed,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671565-djgw6_ae6ecba9-b74d-490c-87b5-5a6ba4d8223a/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671565-djgw6,predictive-autoscaler,stdout
2026-06-01T06:00:28.191Z,1780293628191,"2026-06-01 06:00:28,191 [INFO] DECISION: {""timestamp"": ""2026-06-01T06:00:09.203790Z"", ""current_cpu"": 0.1595361977815628, ""predicted_cpu"": 0.19520071356408558, ""old_replicas"": 3, ""new_replicas"": 3, ""method"": ""predictive""}",1780293628191692441,1780293628191692441_70b6e6ff,predictive-autoscaler,autoscaler,info,/var/log/pods/research-autoscaler_predictive-autoscaler-29671560-h28ts_6a5b172d-0c05-4aa2-b60f-8b435e16adaa/autoscaler/0.log,research-autoscaler/predictive-autoscaler,research-autoscaler,gke-research-autoscaler-default-pool-cc6226da-1lgg,predictive-autoscaler-29671560-h28ts,predictive-autoscaler,stdout
